Cut	FaceIndex	Character
ep1.mov.Scene-160-IN	00	Lady Mormont
ep1.mov.Scene-160-IN	01	Unknown Person
ep1.mov.Scene-160-IN	02	Unknown - not a face
ep1.mov.Scene-160-OUT	00	Unknown Person
ep1.mov.Scene-160-OUT	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-160-OUT	02	Unknown Person____Unknown - not a face
ep1.mov.Scene-161-OUT	00	Unknown Person
ep1.mov.Scene-162-IN	00	Lady Mormont
ep1.mov.Scene-162-IN	01	Unknown Person
ep1.mov.Scene-049-IN	00	Unknown Person
ep1.mov.Scene-051-IN	00	Unknown Person
ep1.mov.Scene-051-IN	01	Unknown Person
ep1.mov.Scene-051-IN	02	Unknown Person
ep1.mov.Scene-051-OUT	00	Unknown Person
ep1.mov.Scene-051-OUT	01	Unknown Person
ep1.mov.Scene-052-IN	00	Unknown Person
ep1.mov.Scene-308-IN	00	Cersei Lannister
ep1.mov.Scene-308-OUT	00	Cersei Lannister
ep1.mov.Scene-309-IN	00	Jaime Lannister
ep1.mov.Scene-309-OUT	00	Jaime Lannister
ep1.mov.Scene-024-OUT	00	Unknown Person
ep1.mov.Scene-024-OUT	01	Unknown Person
ep1.mov.Scene-048-IN	00	Walder Frey
ep1.mov.Scene-048-OUT	00	Walder Frey
ep1.mov.Scene-631-OUT	00	Arya Stark
ep1.mov.Scene-632-IN	00	Arya Stark
ep1.mov.Scene-632-OUT	00	Sansa Stark
ep1.mov.Scene-633-IN	00	Arya Stark
ep1.mov.Scene-633-OUT	00	Ed Sheeran
ep1.mov.Scene-633-OUT	01	Arya Stark
ep1.mov.Scene-635-IN	00	Arya Stark
ep1.mov.Scene-635-OUT	00	Arya Stark
ep1.mov.Scene-831-OUT	00	Unknown - not a face
ep1.mov.Scene-841-IN	00	Daenerys Targaryen
ep1.mov.Scene-593-IN	00	Arya Stark
ep1.mov.Scene-593-OUT	00	Arya Stark
ep1.mov.Scene-593-OUT	01	Ed Sheeran
ep1.mov.Scene-595-IN	00	Arya Stark
ep1.mov.Scene-595-IN	01	Ed Sheeran
ep1.mov.Scene-377-IN	00	Unknown - not a face
