Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,339,00:00:29.538,29.53864178725565,3.8339240077853916
2,383,00:00:33.372,33.37256579504104,7.232174832867905
3,466,00:00:40.604,40.604740627908946,6.883636286705588
4,545,00:00:47.488,47.488376914614534,1.3070195481086628
5,560,00:00:48.795,48.7953964627232,3.485385461623082
6,600,00:00:52.280,52.28078192434628,1.5684234577303897
7,618,00:00:53.849,53.84920538207667,9.410540746382331
8,726,00:01:03.259,63.259746128459,3.3982508250825134
9,765,00:01:06.657,66.65799695354151,7.145040196327315
10,847,00:01:13.803,73.80303714986883,4.095327917407133
11,894,00:01:17.898,77.89836506727596,1.9169620038926922
12,916,00:01:19.815,79.81532707116865,1.481288821189807
13,933,00:01:21.296,81.29661589235846,1.3070195481086557
14,948,00:01:22.603,82.60363544046712,2.701173732757894
15,979,00:01:25.304,85.30480917322501,3.1368469154607794
16,1015,00:01:28.441,88.44165608868579,4.531001100110018
17,1067,00:01:32.972,92.97265718879581,7.319309469408466
18,1151,00:01:40.291,100.29196665820427,2.004096640433275
19,1174,00:01:42.296,102.29606329863755,1.9169620038927064
20,1196,00:01:44.213,104.21302530253026,2.2655005500549947
21,1222,00:01:46.478,106.47852585258525,2.788308369298477
22,1254,00:01:49.266,109.26683422188373,2.5269044596767287
23,1283,00:01:51.793,111.79373868156046,3.746789371244816
24,1326,00:01:55.540,115.54052805280527,4.356731827028867
25,1376,00:01:59.897,119.89725987983414,3.0497122789201967
26,1411,00:02:02.946,122.94697215875433,3.3982508250825134
27,1450,00:02:06.345,126.34522298383685,4.531001100110004
28,1502,00:02:10.876,130.87622408394685,3.6596547347042474
29,1544,00:02:14.535,134.5358788186511,2.8754430058390312
30,1577,00:02:17.411,137.41132182449013,3.74678937124483
31,1620,00:02:21.158,141.15811119573496,3.3111161885419165
32,1658,00:02:24.469,144.46922738427688,7.232174832867912
33,1741,00:02:31.701,151.7014022171448,2.439769823136146
34,1769,00:02:34.141,154.14117204028094,4.00819328086655
35,1815,00:02:38.149,158.14936532114749,2.6140390962173115
36,1845,00:02:40.763,160.7634044173648,2.3526351865955917
37,1872,00:02:43.116,163.1160396039604,5.053808919353486
38,1930,00:02:48.169,168.16984852331387,2.178365913514426
39,1955,00:02:50.348,170.3482144368283,1.4812888211897928
40,1972,00:02:51.829,171.8295032580181,4.182462553947715
41,2020,00:02:56.011,176.0119658119658,4.095327917407133
42,2067,00:03:00.107,180.10729372937294,1.916962003892678
43,2089,00:03:02.024,182.02425573326562,1.9169620038927064
44,2111,00:03:03.941,183.94121773715833,1.742692730811541
45,2131,00:03:05.683,185.68391046796987,2.178365913514426
46,2156,00:03:07.862,187.8622763814843,7.406444105949049
47,2241,00:03:15.268,195.26872048743334,2.1783659135144546
48,2266,00:03:17.447,197.4470864009478,4.356731827028852
49,2316,00:03:21.803,201.80381822797665,3.1368469154607794
50,2352,00:03:24.940,204.94066514343743,11.763175932977902
51,2487,00:03:36.703,216.70384107641533,4.00819328086655
52,2533,00:03:40.712,220.71203435728188,20.56377422357619
53,2769,00:04:01.275,241.27580858085807,3.5725200981636647
54,2810,00:04:04.848,244.84832867902173,2.004096640433289
55,2833,00:04:06.852,246.85242531945502,2.0912312769738435
56,2857,00:04:08.943,248.94365659642887,4.095327917407133
57,2904,00:04:13.038,253.038984513836,2.8754430058390312
58,2937,00:04:15.914,255.91442751967503,1.3070195481086557
59,2952,00:04:17.221,257.2214470677837,2.0040966404332607
60,2975,00:04:19.225,259.22554370821695,1.5684234577304323
61,2993,00:04:20.793,260.7939671659474,1.742692730811541
62,3013,00:04:22.536,262.5366598967589,1.4812888211898212
63,3030,00:04:24.017,264.01794871794874,6.622232377083833
64,3106,00:04:30.640,270.6401810950326,5.402347465515788
65,3168,00:04:36.042,276.04252856054836,9.236271473301144
